game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,home_pitcher_fip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs,away_pitcher_fip_vs_opp
824263,2026-06-20T17:10:00Z,CWS @ DET,DET,CWS,Troy Melton,TBD,675512.0,,0.99,,,,,,,,,,,,,,,,,,,3.94,10.0,0.356,30.0,,,,
823532,2026-06-20T17:35:00Z,CIN @ NYY,NYY,CIN,Will Warren,Andrew Abbott,701542.0,671096.0,1.05,,,,,,,,,,,,,,,,,,,2.5,4.0,0.211,11.0,9.0,0.323,35.0,2.63
824665,2026-06-20T18:20:00Z,TOR @ CHC,CHC,TOR,Colin Rea,Patrick Corbin,607067.0,571578.0,1.02,,,,,,,,,,,,,,,,,,,4.8,7.0,0.37,22.0,10.0,0.4,126.0,6.99
822885,2026-06-20T20:05:00Z,SD @ TEX,TEX,SD,Nathan Eovaldi,Walker Buehler,543135.0,621111.0,1.02,,,,,,,,,,,,,,,,,,,4.0,8.0,0.29,64.0,9.0,0.309,51.0,3.57
822967,2026-06-20T20:10:00Z,WSH @ TB,TB,WSH,TBD,Miles Mikolas,,571945.0,0.97,,,,,,,,,,,,,,,,,,,,,,,8.0,0.325,26.0,5.7
823854,2026-06-20T20:10:00Z,SF @ MIA,MIA,SF,Max Meyer,Trevor McDonald,676974.0,686790.0,0.95,,,,,,,,,,,,,,,,,,,1.85,7.0,0.372,20.0,0.0,,0.0,
824909,2026-06-20T20:10:00Z,MIL @ ATL,ATL,MIL,Chris Sale,Kyle Harrison,519242.0,690986.0,0.98,,,,,,,,,,,,,,,,,,,1.15,10.0,0.242,67.0,5.0,0.345,16.0,1.75
824180,2026-06-20T23:15:00Z,CLE @ HOU,HOU,CLE,Spencer Arrighetti,Joey Cantillo,681293.0,676282.0,1.03,,,,,,,,,,,,,,,,,,,4.33,7.0,0.293,19.0,7.0,0.361,18.0,1.35
823447,2026-06-20T23:15:00Z,NYM @ PHI,PHI,NYM,Cristopher Sánchez,Freddy Peralta,650911.0,642547.0,1.02,,,,,,,,,,,,,,,,,,,2.43,8.0,0.26,61.0,10.0,0.248,70.0,4.8
824342,2026-06-21T01:10:00Z,PIT @ COL,COL,PIT,Tomoyuki Sugano,Paul Skenes,608372.0,694973.0,1.22,,,,,,,,,,,,,,,,,,,8.6,4.0,0.482,8.0,10.0,0.221,46.0,1.01
824988,2026-06-21T02:05:00Z,LAA @ ATH,ATH,LAA,J.T. Ginn,TBD,669372.0,,1.0,,,,,,,,,,,,,,,,,,,4.06,7.0,0.333,31.0,,,,
823937,2026-06-21T02:10:00Z,BAL @ LAD,LAD,BAL,Yoshinobu Yamamoto,Trevor Rogers,808967.0,669432.0,0.96,,,,,,,,,,,,,,,,,,,3.77,10.0,0.279,30.0,8.0,0.367,42.0,2.16
823126,2026-06-21T02:10:00Z,BOS @ SEA,SEA,BOS,Emerson Hancock,Connelly Early,676106.0,813349.0,0.97,,,,,,,,,,,,,,,,,,,2.24,5.0,0.288,9.0,0.0,,0.0,
825068,2026-06-21T02:10:00Z,MIN @ AZ,AZ,MIN,Zac Gallen,Taj Bradley,668678.0,671737.0,1.05,,,,,,,,,,,,,,,,,,,3.54,5.0,0.315,29.0,8.0,0.414,24.0,9.73
