game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,away_last10_w,away_last10_l,home_last10_w,home_last10_l,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp
824805,2026-08-04T22:35:00Z,LAA @ BAL,BAL,LAA,TBD,TBD,,,1.01,,,,,,,,,,,,,,,,,,,2,8,5,5,,,,,,,,,,
824403,2026-08-04T22:40:00Z,NYM @ CLE,CLE,NYM,Joey Cantillo,Sean Manaea,676282.0,640455.0,0.97,,,,,,,,,,,,,,,,,,,4,6,3,7,1.0,0.148,7.0,1.6,2.77,9.0,0.425,46.0,5.79,5.04
824484,2026-08-04T22:40:00Z,ATH @ CIN,CIN,ATH,Brady Singer,J.T. Ginn,663903.0,669372.0,1.04,,,,,,,,,,,,,,,,,,,2,8,6,4,9.0,0.275,33.0,5.54,3.87,8.0,0.248,18.0,5.22,4.0
823432,2026-08-04T22:40:00Z,WSH @ PHI,PHI,WSH,Jesús Luzardo,Zack Littell,666200.0,641793.0,1.02,,,,,,,,,,,,,,,,,,,3,7,3,7,11.0,0.228,68.0,3.36,2.3,11.0,0.365,62.0,4.37,3.67
823517,2026-08-04T23:05:00Z,STL @ NYY,NYY,STL,Ryan Weathers,TBD,677960.0,,1.05,,,,,,,,,,,,,,,,,,,3,7,6,4,7.0,0.67,19.0,8.73,5.43,,,,,
824731,2026-08-04T23:10:00Z,CWS @ BOS,BOS,CWS,TBD,Davis Martin,,663436.0,1.03,,,,,,,,,,,,,,,,,,,5,5,8,2,,,,,,9.0,0.504,28.0,2.43,4.99
824888,2026-08-04T23:15:00Z,MIA @ ATL,ATL,MIA,Grant Holmes,TBD,656550.0,,0.98,,,,,,,,,,,,,,,,,,,6,4,7,3,8.0,0.298,26.0,2.1,3.08,,,,,
824084,2026-08-04T23:40:00Z,MIN @ KC,KC,MIN,Randy Dobnak,Joe Ryan,677976.0,657746.0,0.98,,,,,,,,,,,,,,,,,,,6,4,3,7,10.0,0.292,29.0,2.45,3.67,11.0,0.323,84.0,3.66,4.24
823756,2026-08-04T23:40:00Z,PIT @ MIL,MIL,PIT,Logan Henderson,Jared Jones,701656.0,683003.0,1.0,,,,,,,,,,,,,,,,,,,3,7,6,4,3.0,0.344,5.0,4.9,5.84,5.0,0.268,12.0,0.46,
824645,2026-08-05T00:05:00Z,LAD @ CHC,CHC,LAD,Javier Assad,Tarik Skubal,665871.0,669373.0,1.02,,,,,,,,,,,,,,,,,,,5,5,6,4,10.0,0.478,22.0,6.1,4.99,8.0,0.228,50.0,2.87,3.67
822865,2026-08-05T00:05:00Z,SF @ TEX,TEX,SF,MacKenzie Gore,TBD,669022.0,,1.02,,,,,,,,,,,,,,,,,,,5,5,4,6,4.0,0.214,18.0,1.45,2.15,,,,,
824161,2026-08-05T00:10:00Z,TOR @ HOU,HOU,TOR,Hayden Wesneski,Trey Yesavage,669713.0,702056.0,1.03,,,,,,,,,,,,,,,,,,,6,4,9,1,8.0,0.226,10.0,4.05,5.03,6.0,0.272,13.0,4.74,5.59
824321,2026-08-05T00:40:00Z,TB @ COL,COL,TB,Gabriel Hughes,TBD,687312.0,,1.22,,,,,,,,,,,,,,,,,,,6,4,5,5,0.0,,0.0,,,,,,,
825054,2026-08-05T01:40:00Z,SD @ AZ,AZ,SD,Eduardo Rodriguez,TBD,593958.0,,1.05,,,,,,,,,,,,,,,,,,,8,2,6,4,9.0,0.383,79.0,4.95,4.13,,,,,
823108,2026-08-05T01:40:00Z,DET @ SEA,SEA,DET,TBD,TBD,,,0.97,,,,,,,,,,,,,,,,,,,6,4,4,6,,,,,,,,,,
